date,mnav_ev,mnav_diluted,mstr_price,btc_price_ny_close,btc_holdings
2025-01-02,1.8434,1.7539,326.11,93594.15,554000
2025-01-03,1.8812,1.8139,324.07,91928.14,554000
2025-01-06,1.8955,1.8211,327.28,93908.04,554000
2025-01-07,1.9137,1.8487,337.47,90854.04,554000
2025-01-08,1.8841,1.79,317.28,87853.38,554000
2025-01-09,1.9027,1.8034,317.15,88460.35,554000
2025-01-10,1.881,1.8525,321.9,89077.28,554000
2025-01-13,1.8609,1.7587,335.78,90140.16,554000
2025-01-14,1.883,1.8105,334.93,89592.03,554000
2025-01-15,1.8663,1.8229,324.11,88862.11,554000
2025-01-16,1.8816,1.7569,327.28,87497.28,554000
2025-01-17,1.8143,1.7246,342.63,87652.11,554000
2025-01-20,1.8314,1.7496,333.24,87536.16,554000
2025-01-21,1.8544,1.8028,343.3,85041.98,554000
2025-01-22,1.8593,1.7404,348.06,87560.24,554000
2025-01-23,1.8451,1.7272,341.03,88708.06,554000
2025-01-24,1.8888,1.7479,335.1,87062.32,554000
2025-01-27,1.9389,1.8762,338.31,84593.75,554000
2025-01-28,1.9523,1.8502,308.9,81446.96,554000
2025-01-29,1.992,1.9167,319.83,79688.05,554000
2025-01-30,2.0501,1.9887,325.08,80143.51,554000
2025-01-31,1.9933,1.9517,331.7,81038.95,554000
2025-02-03,1.9235,1.8245,338.25,82651.79,556500
2025-02-04,1.8963,1.8307,331.44,83594.63,556500
2025-02-05,1.9096,1.8448,312.43,86801.98,556500
2025-02-06,1.865,1.7887,320.73,87014.58,556500
2025-02-07,1.8378,1.7718,322.12,87071.58,556500
2025-02-10,1.8241,1.7105,311.22,83202.25,556500
2025-02-11,1.8914,1.8328,300.58,81421.47,556500
2025-02-12,1.9024,1.7938,279.88,82107.67,556500
2025-02-13,1.8952,1.8072,282.93,81555.12,556500
2025-02-14,1.9125,1.8558,286.06,82638.14,556500
2025-02-17,1.9227,1.854,286.47,82738.02,556500
2025-02-18,1.9573,1.8479,288.54,82557.95,556500
2025-02-19,1.939,1.8823,295.07,83373.26,556500
2025-02-20,1.979,1.8975,309.43,85763.25,556500
2025-02-21,2.0061,1.9426,310.27,85108.69,556500
2025-02-24,2.0112,1.9368,330.95,84880.66,556500
2025-02-25,2.0397,1.9896,327.05,86931.63,556500
2025-02-26,2.1133,2.0252,329.81,89101.3,556500
2025-02-27,2.0989,2.0324,321.74,88712.8,556500
2025-02-28,2.1061,1.9997,308.36,89084.44,556500
2025-03-03,2.181,2.0955,328.17,89704.4,556500
2025-03-04,2.1803,2.0789,308.65,90919.7,556500
2025-03-05,2.1906,2.1119,307.9,89298.29,558300
2025-03-06,2.1631,2.0662,309.5,88215.75,558300
2025-03-07,2.1024,2.0883,293.67,89303.47,558300
2025-03-10,2.0697,1.9948,296.34,90100.16,558300
2025-03-11,2.069,1.9878,299.97,84970.38,558300
2025-03-12,2.0261,1.9015,295.12,86351.71,558300
2025-03-13,2.0213,1.9218,302.49,87670.21,558300
2025-03-14,2.0121,1.9225,295.6,89174.18,558300
2025-03-17,1.9549,1.8863,290.46,91936.88,558300
2025-03-18,1.9642,1.8839,293.85,92941.64,558300
2025-03-19,1.9381,1.8239,287.99,91265.38,558300
2025-03-20,1.9578,1.8711,281.85,89632.6,558300
2025-03-21,1.9761,1.8501,281.58,89348.49,558300
2025-03-24,2.0441,2.0316,291.79,91794.65,558300
2025-03-25,2.0701,1.9938,311.68,93137.96,558300
2025-03-26,2.0497,2.0031,311.92,90048.53,558300
2025-03-27,2.0457,1.9018,308.95,90442.78,558300
2025-03-28,1.9782,1.8922,292.39,88778.31,558300
2025-03-31,2.0038,1.953,288.98,89527.12,558300
2025-04-01,1.9563,1.8436,276.78,91760.08,558300
2025-04-02,1.9442,1.8539,281.44,92430.51,558300
2025-04-03,1.9058,1.8192,287.42,95095.92,558300
2025-04-04,1.9277,1.8545,267.2,95825.02,558300
2025-04-07,1.8744,1.7752,256.5,96219.78,558300
2025-04-08,1.8449,1.7417,251.73,98072.46,558300
2025-04-09,1.8066,1.7376,251.0,95146.43,558300
2025-04-10,1.7867,1.6484,254.18,90731.45,558300
2025-04-11,1.7158,1.6096,252.03,92119.12,558300
2025-04-14,1.7408,1.6832,248.29,92728.99,558300
2025-04-15,1.7835,1.7232,251.43,94038.76,558300
2025-04-16,1.8131,1.7724,233.39,94962.63,558300
2025-04-17,1.8774,1.7446,229.84,94474.72,558300
2025-04-18,1.8469,1.7876,249.61,95436.2,558300
2025-04-21,1.8665,1.8136,248.86,99113.13,558300
2025-04-22,1.8773,1.8221,248.38,97396.95,558300
2025-04-23,1.8439,1.7531,246.98,97407.6,558300
2025-04-24,1.8165,1.7113,248.16,99222.64,558300
2025-04-25,1.8383,1.6805,258.35,104593.92,558300
2025-04-28,1.8949,1.8277,263.01,105977.66,558300
2025-04-29,1.8295,1.7805,268.14,105919.39,558300
2025-04-30,1.8741,1.8484,261.87,106692.36,558300
2025-05-01,1.8849,1.8104,256.08,103785.2,558300
2025-05-02,1.9578,1.9089,247.65,103041.1,558300
2025-05-05,2.0188,1.9684,236.29,100662.44,558300
2025-05-06,1.9881,1.9159,243.27,104409.04,562300
2025-05-07,1.9814,1.8952,252.92,100457.2,562300
2025-05-08,2.0097,1.9252,233.01,99345.48,562300
2025-05-09,1.9799,1.8732,250.47,101357.8,562300
2025-05-12,1.9676,1.8666,259.93,102041.66,562300
2025-05-13,1.9752,1.8966,232.55,104301.81,562300
2025-05-14,1.9496,1.8676,232.03,98623.68,562300
2025-05-15,1.9205,1.805,236.19,95970.35,562300
2025-05-16,1.9506,1.8658,231.55,92190.99,562300
2025-05-19,1.9746,1.9534,237.54,92553.75,562300
2025-05-20,2.076,1.9904,233.3,92493.2,562300
2025-05-21,2.0228,1.899,232.4,92730.12,562300
2025-05-22,2.0057,1.9004,233.84,92236.5,562300
2025-05-23,1.9616,1.8548,233.3,87406.56,562300
2025-05-26,1.9622,1.8848,235.05,88550.92,562300
2025-05-27,1.9943,1.9118,240.87,87582.1,562300
2025-05-28,1.9999,1.9385,244.9,91191.75,562300
2025-05-29,1.9914,1.9545,248.28,90874.69,562300
2025-05-30,2.0479,1.9978,263.62,90983.36,562300
2025-06-02,2.0245,1.9601,273.57,92552.55,562300
2025-06-03,2.0944,1.9989,270.97,92093.02,562300
2025-06-04,2.1062,1.9867,287.89,94349.47,562300
2025-06-05,2.0763,1.9972,272.21,94695.59,566300
2025-06-06,2.1176,1.9832,270.31,94418.99,566300
2025-06-09,2.1266,2.0314,259.59,92353.96,566300
2025-06-10,2.1629,2.0362,258.3,90263.68,566300
2025-06-11,2.2101,2.1017,247.99,91440.29,566300
2025-06-12,2.232,2.1551,242.4,91052.56,566300
2025-06-13,2.2595,2.1466,245.76,90575.95,566300
2025-06-16,2.2408,2.1292,237.38,88882.86,566300
2025-06-17,2.2414,2.1259,237.97,92131.25,566300
2025-06-18,2.3028,2.2426,235.57,89566.8,566300
2025-06-19,2.2974,2.2657,239.1,89628.74,566300
2025-06-20,2.3463,2.2609,252.58,90517.26,566300
2025-06-23,2.3183,2.1914,259.67,89060.09,566300
2025-06-24,2.3403,2.2682,251.24,87235.38,566300
2025-06-25,2.3231,2.2797,266.04,87233.95,566300
2025-06-26,2.3169,2.2814,266.61,87919.07,566300
2025-06-27,2.3053,2.2603,253.84,87051.75,566300
2025-06-30,2.3711,2.3341,256.34,85218.09,566300
2025-07-01,2.3797,2.2975,280.21,86763.6,566300
2025-07-02,2.4267,2.3402,285.17,83726.14,566300
2025-07-03,2.4562,2.3693,292.32,83658.7,566300
2025-07-04,2.3495,2.2583,289.9,82919.12,566300
2025-07-07,2.2625,2.1791,304.16,85051.63,568100
2025-07-08,2.2545,2.1751,327.1,85543.58,568100
2025-07-09,2.2229,2.1506,327.79,87601.82,568100
2025-07-10,2.1931,2.1657,336.33,88691.81,568100
2025-07-11,2.2048,2.1119,336.95,91719.35,568100
2025-07-14,2.2326,2.1383,329.04,94386.78,568100
2025-07-15,2.2874,2.2071,337.71,93152.19,568100
2025-07-16,2.2865,2.2158,347.71,91964.63,568100
2025-07-17,2.2662,2.2547,361.9,94839.2,568100
2025-07-18,2.2409,2.1596,372.28,94921.4,568100
2025-07-21,2.2972,2.1807,396.01,91675.11,568100
2025-07-22,2.3469,2.2531,374.02,88988.67,568100
2025-07-23,2.343,2.2303,370.37,88952.12,568100
2025-07-24,2.3411,2.2704,352.18,89066.17,568100
2025-07-25,2.3042,2.229,349.74,89970.39,568100
2025-07-28,2.3372,2.2538,369.33,89170.29,568100
2025-07-29,2.299,2.2084,360.69,88401.39,568100
2025-07-30,2.3236,2.3066,367.63,88993.27,568100
2025-07-31,2.4417,2.3057,368.24,87809.92,568100
2025-08-01,2.4497,2.3819,370.87,86964.33,568100
2025-08-04,2.4533,2.3964,376.06,86618.72,568100
2025-08-05,2.4544,2.3434,364.87,83409.34,568100
2025-08-06,2.4269,2.3659,373.32,81733.38,568100
2025-08-07,2.3856,2.3408,373.97,79662.59,568100
2025-08-08,2.3978,2.3071,370.19,76957.5,568100
2025-08-11,2.3711,2.2658,362.93,78227.74,568100
2025-08-12,2.3941,2.311,384.92,77199.66,568100
2025-08-13,2.4331,2.2788,395.75,74923.15,568100
2025-08-14,2.5253,2.4161,396.57,74400.27,568100
2025-08-15,2.4512,2.3877,394.33,72813.21,568100
2025-08-18,2.4733,2.3907,402.62,73008.53,568100
2025-08-19,2.5284,2.396,383.62,74102.05,568100
2025-08-20,2.5532,2.4733,395.92,76370.78,568100
2025-08-21,2.5288,2.3738,394.77,76048.59,568100
2025-08-22,2.4586,2.3982,383.16,74803.34,568100
2025-08-25,2.4869,2.4001,390.25,75888.74,568100
2025-08-26,2.5438,2.464,414.81,75766.11,568100
2025-08-27,2.5096,2.482,415.04,77051.04,568100
2025-08-28,2.5003,2.4182,433.28,77203.1,568100
2025-08-29,2.5294,2.4561,445.35,75363.18,568100
2025-09-01,2.5592,2.4897,430.99,77054.08,568100
2025-09-02,2.4895,2.4115,438.15,75798.15,568100
2025-09-03,2.4866,2.4087,424.42,75574.54,568100
2025-09-04,2.5356,2.47,452.62,74871.53,568100
2025-09-05,2.5544,2.5059,478.86,75713.62,569900
2025-09-08,2.6071,2.5166,465.45,75857.41,569900
2025-09-09,2.5482,2.4903,476.7,76332.04,569900
2025-09-10,2.5246,2.4575,474.3,77207.9,569900
2025-09-11,2.541,2.4644,473.39,78112.72,569900
2025-09-12,2.5976,2.485,495.95,75558.38,569900
2025-09-15,2.5846,2.5214,495.93,79118.52,569900
2025-09-16,2.6532,2.582,485.25,81592.84,569900
2025-09-17,2.6403,2.5762,497.19,80516.39,569900
2025-09-18,2.571,2.5512,498.04,81885.32,569900
2025-09-19,2.5838,2.531,530.19,84964.34,569900
2025-09-22,2.5716,2.4955,499.78,86404.76,569900
2025-09-23,2.5994,2.5099,503.18,84828.09,569900
2025-09-24,2.648,2.5738,532.07,82516.64,569900
2025-09-25,2.6616,2.5836,503.31,83649.07,569900
2025-09-26,2.6594,2.6291,519.08,87189.8,569900
2025-09-29,2.6439,2.6386,509.86,88534.9,569900
2025-09-30,2.6366,2.531,501.14,87581.41,569900
2025-10-01,2.6417,2.4949,503.25,87627.06,569900
2025-10-02,2.6773,2.6006,472.39,84900.76,569900
2025-10-03,2.7243,2.6358,479.39,80764.13,569900
2025-10-06,2.6132,2.5361,497.75,80817.48,569900
2025-10-07,2.6082,2.4726,526.98,82072.95,571100
2025-10-08,2.5907,2.5364,517.36,80995.41,571100
2025-10-09,2.6173,2.5848,510.78,81192.48,571100
2025-10-10,2.677,2.6051,517.93,81267.48,571100
2025-10-13,2.7848,2.6452,563.7,79245.79,571100
2025-10-14,2.8346,2.7747,572.61,79247.13,571100
2025-10-15,2.8413,2.7923,552.17,78879.11,571100
2025-10-16,2.8414,2.7033,532.99,77223.26,571100
2025-10-17,2.8659,2.7648,525.48,76883.02,571100
2025-10-20,2.8648,2.7648,518.86,75588.12,571100
2025-10-21,2.9273,2.8984,533.11,75666.91,571100
2025-10-22,2.7979,2.7749,525.92,74541.77,571100
2025-10-23,2.8257,2.7049,525.93,73520.98,571100
2025-10-24,2.7342,2.6629,526.08,74261.94,571100
2025-10-27,2.7753,2.7016,492.32,76095.5,571100
2025-10-28,2.8418,2.7551,500.52,76879.01,571100
2025-10-29,2.8805,2.776,493.94,78283.73,571100
2025-10-30,2.905,2.8203,524.45,78176.73,571100
2025-10-31,2.9166,2.8648,510.58,76449.32,571100
