date,mnav_ev,mnav_diluted,mstr_price,btc_price_ny_close,btc_holdings
2025-01-02,1.8434,1.7539,326.11,93594.15,554000
2025-01-03,1.8812,1.8139,324.07,91928.14,554000
2025-01-06,1.8955,1.8211,327.28,93908.04,554000
2025-01-07,1.9137,1.8487,337.47,90854.04,554000
2025-01-08,1.8841,1.79,317.28,87853.38,554000
2025-01-09,1.9027,1.8034,317.15,88460.35,554000
2025-01-10,1.881,1.8525,321.9,89077.28,554000
2025-01-13,1.8609,1.7587,335.78,90140.16,554000
2025-01-14,1.883,1.8105,334.93,89592.03,554000
2025-01-15,1.8663,1.8229,324.11,88862.11,554000
2025-01-16,1.8816,1.7569,327.28,87497.28,554000
2025-01-17,1.8143,1.7246,342.63,87652.11,554000
2025-01-20,1.8314,1.7496,333.24,87536.16,554000
2025-01-21,1.8544,1.8028,343.3,85041.98,554000
2025-01-22,1.8593,1.7404,348.06,87560.24,554000
2025-01-23,1.8451,1.7272,341.03,88708.06,554000
2025-01-24,1.8888,1.7479,335.1,87062.32,554000
2025-01-27,1.9389,1.8762,338.31,84593.75,554000
2025-01-28,1.9523,1.8502,308.9,81446.96,554000
2025-01-29,1.992,1.9167,319.83,79688.05,554000
2025-01-30,2.0501,1.9887,325.08,80143.51,554000
2025-01-31,1.9933,1.9517,331.7,81038.95,554000
2025-02-03,1.9235,1.8245,338.25,82651.79,556500
2025-02-04,1.8963,1.8307,331.44,83594.63,556500
2025-02-05,1.9096,1.8448,312.43,86801.98,556500
2025-02-06,1.865,1.7887,320.73,87014.58,556500
2025-02-07,1.8378,1.7718,322.12,87071.58,556500
2025-02-10,1.8241,1.7105,311.22,83202.25,556500
2025-02-11,1.8914,1.8328,300.58,81421.47,556500
2025-02-12,1.9024,1.7938,279.88,82107.67,556500
2025-02-13,1.8952,1.8072,282.93,81555.12,556500
2025-02-14,1.9125,1.8558,286.06,82638.14,556500
2025-02-17,1.9227,1.854,286.47,82738.02,556500
2025-02-18,1.9573,1.8479,288.54,82557.95,556500
2025-02-19,1.939,1.8823,295.07,83373.26,556500
2025-02-20,1.979,1.8975,309.43,85763.25,556500
2025-02-21,2.0061,1.9426,310.27,85108.69,556500
2025-02-24,2.0112,1.9368,330.95,84880.66,556500
2025-02-25,2.0397,1.9896,327.05,86931.63,556500
2025-02-26,2.1133,2.0252,329.81,89101.3,556500
2025-02-27,2.0989,2.0324,321.74,88712.8,556500
2025-02-28,2.1061,1.9997,308.36,89084.44,556500
2025-03-03,2.181,2.0955,328.17,89704.4,556500
2025-03-04,2.1803,2.0789,308.65,90919.7,556500
2025-03-05,2.1906,2.1119,307.9,89298.29,558300
2025-03-06,2.1631,2.0662,309.5,88215.75,558300
2025-03-07,2.1024,2.0883,293.67,89303.47,558300
2025-03-10,2.0697,1.9948,296.34,90100.16,558300
2025-03-11,2.069,1.9878,299.97,84970.38,558300
2025-03-12,2.0261,1.9015,295.12,86351.71,558300
2025-03-13,2.0213,1.9218,302.49,87670.21,558300
2025-03-14,2.0121,1.9225,295.6,89174.18,558300
2025-03-17,1.9549,1.8863,290.46,91936.88,558300
2025-03-18,1.9642,1.8839,293.85,92941.64,558300
2025-03-19,1.9381,1.8239,287.99,91265.38,558300
2025-03-20,1.9578,1.8711,281.85,89632.6,558300
2025-03-21,1.9761,1.8501,281.58,89348.49,558300
2025-03-24,2.0441,2.0316,291.79,91794.65,558300
2025-03-25,2.0701,1.9938,311.68,93137.96,558300
2025-03-26,2.0497,2.0031,311.92,90048.53,558300
2025-03-27,2.0457,1.9018,308.95,90442.78,558300
2025-03-28,1.9782,1.8922,292.39,88778.31,558300
2025-03-31,2.0038,1.953,288.98,89527.12,558300
2025-04-01,1.9563,1.8436,276.78,91760.08,558300
2025-04-02,1.9442,1.8539,281.44,92430.51,558300
2025-04-03,1.9058,1.8192,287.42,95095.92,558300
2025-04-04,1.9277,1.8545,267.2,95825.02,558300
2025-04-07,1.8744,1.7752,256.5,96219.78,558300
2025-04-08,1.8449,1.7417,251.73,98072.46,558300
2025-04-09,1.8066,1.7376,251.0,95146.43,558300
2025-04-10,1.7867,1.6484,254.18,90731.45,558300
2025-04-11,1.7158,1.6096,252.03,92119.12,558300
2025-04-14,1.7408,1.6832,248.29,92728.99,558300
2025-04-15,1.7835,1.7232,251.43,94038.76,558300
2025-04-16,1.8131,1.7724,233.39,94962.63,558300
2025-04-17,1.8774,1.7446,229.84,94474.72,558300
2025-04-18,1.8469,1.7876,249.61,95436.2,558300
2025-04-21,1.8665,1.8136,248.86,99113.13,558300
2025-04-22,1.8773,1.8221,248.38,97396.95,558300
2025-04-23,1.8439,1.7531,246.98,97407.6,558300
2025-04-24,1.8165,1.7113,248.16,99222.64,558300
2025-04-25,1.8383,1.6805,258.35,104593.92,558300
2025-04-28,1.8949,1.8277,263.01,105977.66,558300
2025-04-29,1.8295,1.7805,268.14,105919.39,558300
2025-04-30,1.8741,1.8484,261.87,106692.36,558300
2025-05-01,1.8849,1.8104,256.08,103785.2,558300
2025-05-02,1.9578,1.9089,247.65,103041.1,558300
2025-05-05,2.0188,1.9684,236.29,100662.44,558300
2025-05-06,1.9881,1.9159,243.27,104409.04,562300
2025-05-07,1.9814,1.8952,252.92,100457.2,562300
2025-05-08,2.0097,1.9252,233.01,99345.48,562300
2025-05-09,1.9799,1.8732,250.47,101357.8,562300
2025-05-12,1.9676,1.8666,259.93,102041.66,562300
2025-05-13,1.9752,1.8966,232.55,104301.81,562300
2025-05-14,1.9496,1.8676,232.03,98623.68,562300
2025-05-15,1.9205,1.805,236.19,95970.35,562300
2025-05-16,1.9506,1.8658,231.55,92190.99,562300
2025-05-19,1.9746,1.9534,237.54,92553.75,562300
2025-05-20,2.076,1.9904,233.3,92493.2,562300
2025-05-21,2.0228,1.899,232.4,92730.12,562300
2025-05-22,2.0057,1.9004,233.84,92236.5,562300
2025-05-23,1.9616,1.8548,233.3,87406.56,562300
2025-05-26,1.9622,1.8848,235.05,88550.92,562300
2025-05-27,1.9943,1.9118,240.87,87582.1,562300
2025-05-28,1.9999,1.9385,244.9,91191.75,562300
2025-05-29,1.9914,1.9545,248.28,90874.69,562300
2025-05-30,2.0479,1.9978,263.62,90983.36,562300
2025-06-02,2.0245,1.9601,273.57,92552.55,562300
2025-06-03,2.0944,1.9989,270.97,92093.02,562300
2025-06-04,2.1062,1.9867,287.89,94349.47,562300
2025-06-05,2.0763,1.9972,272.21,94695.59,566300
2025-06-06,2.1176,1.9832,270.31,94418.99,566300
2025-06-09,2.1266,2.0314,259.59,92353.96,566300
2025-06-10,2.1629,2.0362,258.3,90263.68,566300
2025-06-11,2.2101,2.1017,247.99,91440.29,566300
2025-06-12,2.232,2.1551,242.4,91052.56,566300
2025-06-13,2.2595,2.1466,245.76,90575.95,566300
2025-06-16,2.2408,2.1292,237.38,88882.86,566300
2025-06-17,2.2414,2.1259,237.97,92131.25,566300
2025-06-18,2.3028,2.2426,235.57,89566.8,566300
